Year,Author,Novel
2006 ,Joe Haldeman*,Camouflage
2006 ,Susanna Clarke,Jonathan Strange & Mr Norrell
2006 ,Jack McDevitt,Polaris
2006 ,Terry Pratchett,Going Postal
2006 ,Geoff Ryman,Air
2006 ,John C. Wright,Orphans of Chaos
2007 ,Jack McDevitt*,Seeker
2007 ,Ellen Kushner,The Privilege of the Sword
2007 ,Jeffrey Ford,The Girl in the Glass
2007 ,Jo Walton,Farthing
2007 ,Richard Bowes,From the Files of the Time Rangers
2007 ,Wil McCarthy,To Crush the Moon
2008 ,Michael Chabon*,The Yiddish Policemen's Union
2008 ,Jack McDevitt,Odyssey
2008 ,Joe Haldeman,The Accidental Time Machine
2008 ,Nalo Hopkinson,The New Moon's Arms
2008 ,Tobias S. Buckell,Ragamuffin
2009 ,Ursula K. Le Guin*,Powers
2009 ,Cory Doctorow,Little Brother
2009 ,Jack McDevitt,Cauldron
2009 ,Ian McDonald,Brasyl
2009 ,Terry Pratchett,Making Money
2009 ,David J. Schwartz,Superpowers
2010 ,Paolo Bacigalupi*,The Windup Girl
2010 ,Christopher Barzak,The Love We Share Without Knowing
2010 ,Laura Anne Gilman,Flesh and Fire
2010 ,China Miéville,The City & the City
2010 ,Cherie Priest,Boneshaker
2010 ,Jeff VanderMeer,Finch
2011 ,Connie Willis*,Blackout/All Clear
2011 ,M. K. Hobson,The Native Star
2011 ,N. K. Jemisin,The Hundred Thousand Kingdoms
2011 ,Mary Robinette Kowal,Shades of Milk and Honey
2011 ,Jack McDevitt,Echo
2011 ,Nnedi Okorafor,Who Fears Death
2012 ,Jo Walton*,Among Others
2012 ,China Miéville,Embassytown
2012 ,Jack McDevitt,Firebird
2012 ,Kameron Hurley,God's War
2012 ,Genevieve Valentine,Mechanique: a Tale of the Circus Tresaulti
2012 ,N. K. Jemisin,The Kingdom of Gods
2013 ,Kim Stanley Robinson*,2312
2013 ,Saladin Ahmed,Throne of the Crescent Moon
2013 ,Tina Connolly,Ironskin
2013 ,N. K. Jemisin,The Killing Moon
2013 ,Caitlín R. Kiernan,The Drowning Girl
2013 ,Mary Robinette Kowal,Glamour in Glass
2014 ,Ann Leckie*,Ancillary Justice
2014 ,Karen Joy Fowler,We Are All Completely Beside Ourselves
2014 ,Neil Gaiman,The Ocean at the End of the Lane
2014 ,Charles E. Gannon,Fire with Fire
2014 ,Nicola Griffith,Hild
2014 ,Linda Nagata,The Red: First Light
2014 ,Sofia Samatar,A Stranger in Olondria
2014 ,Helene Wecker,The Golem and the Jinni
2015 ,Jeff VanderMeer*,Annihilation
2015 ,Katherine Addison,The Goblin Emperor
2015 ,Charles E. Gannon,Trial by Fire
2015 ,Ann Leckie,Ancillary Sword
2015 ,Cixin Liu,The Three-Body Problem
2015 ,Jack McDevitt,Coming Home
2016 ,Naomi Novik*,Uprooted
2016 ,Ann Leckie,Ancillary Mercy
2016 ,Lawrence M. Schoen,Barsk: The Elephants' Graveyard
2016 ,N. K. Jemisin,The Fifth Season
2016 ,Ken Liu,The Grace of Kings
2016 ,Charles E. Gannon,Raising Caine
2016 ,Fran Wilde,Updraft
2017 ,Charlie Jane Anders*,All the Birds in the Sky
2017 ,Mishell Baker,Borderline
2017 ,N. K. Jemisin,The Obelisk Gate
2017 ,Yoon Ha Lee,Ninefox Gambit
2017 ,Nisi Shawl,Everfair
2018 ,N. K. Jemisin*,The Stone Sky
2018 ,Lara Elena Donnelly,Amberlough
2018 ,Theodora Goss,The Strange Case of the Alchemist's Daughter
2018 ,Daryl Gregory,Spoonbenders
2018 ,Mur Lafferty,Six Wakes
2018 ,Fonda Lee,Jade City
2018 ,Annalee Newitz,Autonomous
2019 ,Mary Robinette Kowal*,The Calculating Stars
2019 ,Sam J. Miller,Blackfish City
2019 ,R. F. Kuang,The Poppy War
2019 ,Naomi Novik,Spinning Silver
2019 ,Rebecca Roanhorse,Trail of Lightning
2019 ,C. L. Polk,Witchmark
2020 ,Sarah Pinsker*,A Song for a New Day
2020 ,Charles E. Gannon,Marque of Caine
2020 ,Alix E. Harrow,The Ten Thousand Doors of January
2020 ,Arkady Martine,A Memory Called Empire
2020 ,Silvia Moreno-Garcia,Gods of Jade and Shadow
2020 ,Tamsyn Muir,Gideon the Ninth
2021 ,Martha Wells*,Network Effect
2021 ,Susanna Clarke,Piranesi
2021 ,N. K. Jemisin,The City We Became
2021 ,Silvia Moreno-Garcia,Mexican Gothic
2021 ,C. L. Polk,The Midnight Bargain
2021 ,Rebecca Roanhorse,Black Sun
2022 ,P. Djèlí Clark*,A Master of Djinn
2022 ,C. L. Clark,The Unbroken
2022 ,S. B. Divya,Machinehood
2022 ,Arkady Martine,A Desolation Called Peace
2022 ,Jason Sanford,Plague Birds
2023 ,R. F. Kuang*,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution
2023 ,Travis Baldree,Legends & Lattes
2023 ,Nicola Griffith,Spear
2023 ,T. Kingfisher,Nettle & Bone
2023 ,Tamsyn Muir,Nona the Ninth
2023 ,Ray Nayler,The Mountain in the Sea
