Year,Author,Novel
2006,Robert Charles Wilson*,Spin
2006,Ken MacLeod,Learning the World
2006,George R. R. Martin,A Feast for Crows
2006,John Scalzi,Old Man's War
2006,Charles Stross,Accelerando
2007,Vernor Vinge*,Rainbows End
2007,Charles Stross,Glasshouse
2007,Naomi Novik,His Majesty's Dragon
2007,Michael F. Flynn,Eifelheim
2007,Peter Watts,Blindsight
2008,Michael Chabon*,The Yiddish Policemen's Union
2008,John Scalzi,The Last Colony
2008,Charles Stross,Halting State
2008,Robert J. Sawyer,Rollback
2008,Ian McDonald,Brasyl
2009,Neil Gaiman*,The Graveyard Book
2009,Cory Doctorow,Little Brother
2009,Neal Stephenson,Anathem
2009,Charles Stross,Saturn's Children
2009,John Scalzi,Zoe's Tale
2010,Paolo Bacigalupi*,The Windup Girl
2010,China Miéville*,The City & the City
2010,Cherie Priest,Boneshaker
2010,Robert J. Sawyer,Wake
2010,Catherynne M. Valente,Palimpsest
2010,Robert Charles Wilson,Julian Comstock: A Story of 22nd-Century America
2011,Connie Willis*,Blackout/All Clear
2011,Lois McMaster Bujold,Cryoburn
2011,Ian McDonald,The Dervish House
2011,Mira Grant,Feed
2011,N. K. Jemisin,The Hundred Thousand Kingdoms
2012,Jo Walton*,Among Others
2012,George R. R. Martin,A Dance with Dragons
2012,Mira Grant,Deadline
2012,China Miéville,Embassytown
2012,James S. A. Corey,Leviathan Wakes
2013,John Scalzi*,Redshirts
2013,Kim Stanley Robinson,2312
2013,Mira Grant,Blackout
2013,Lois McMaster Bujold,Captain Vorpatril's Alliance
2013,Saladin Ahmed,Throne of the Crescent Moon
2014,Ann Leckie*,Ancillary Justice
2014,Charles Stross,Neptune's Brood
2014,Mira Grant,Parasite
2014,Larry Correia,Warbound
2014,Robert Jordan ,The Wheel of Time[d] 
2014,Brandon Sanderson ,
2015,Cixin Liu (Chinese)*[f] ,The Three-Body Problem 
2015,Ken Liu (translator)*[f] ,
2015,Katherine Addison,The Goblin Emperor
2015,Kevin J. Anderson,The Dark Between the Stars
2015,Jim Butcher,Skin Game
2015,Ann Leckie,Ancillary Sword
2016,N. K. Jemisin*,The Fifth Season
2016,Naomi Novik,Uprooted
2016,Ann Leckie,Ancillary Mercy
2016,Neal Stephenson,Seveneves
2016,Jim Butcher,The Cinder Spires: The Aeronaut's Windlass
2017,N. K. Jemisin*,The Obelisk Gate
2017,Charlie Jane Anders,All the Birds in the Sky
2017,Becky Chambers,A Closed and Common Orbit
2017,Cixin Liu (Chinese)[f] ,Death's End 
2017,Ken Liu (translator)[f] ,
2017,Yoon Ha Lee,Ninefox Gambit
2017,Ada Palmer,Too Like the Lightning
2018,N. K. Jemisin*,The Stone Sky
2018,John Scalzi,The Collapsing Empire
2018,Kim Stanley Robinson,New York 2140
2018,Ann Leckie,Provenance
2018,Yoon Ha Lee,Raven Stratagem
2018,Mur Lafferty,Six Wakes
2019,Mary Robinette Kowal*,The Calculating Stars
2019,Becky Chambers,Record of a Spaceborn Few
2019,Yoon Ha Lee,Revenant Gun
2019,Naomi Novik,Spinning Silver
2019,Rebecca Roanhorse,Trail of Lightning
2019,Catherynne M. Valente,Space Opera
2020,Arkady Martine*,A Memory Called Empire
2020,Charlie Jane Anders,The City in the Middle of the Night
2020,Tamsyn Muir,Gideon the Ninth
2020,Kameron Hurley,The Light Brigade
2020,Seanan McGuire,Middlegame
2020,Alix E. Harrow,The Ten Thousand Doors of January
